//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,5,,,,,,
measure_time,2,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,-1,0,0,0.9,0,,
note,62,95,1,1.4,1,,
note,64,95,1.5,1.9,-1,,
note,67,95,2,2.4,-1,,
note,-1,0,2.5,2.9,-1,,
note,67,95,3,3.15,2,,
note,64,95,3.25,3.4,2,,
note,67,95,3.5,3.65,2,,
note,69,95,3.75,3.9,-2,,
note,69,95,4,4.4,-1,,
note,-1,0,4.5,4.9,-1,,
note,69,95,5,5.4,1,,
note,71,95,5.5,5.9,-1,,
note,74,95,6,6.4,-1,,
note,-1,0,6.5,6.9,-1,,
note,74,95,7,7.15,2,,
note,71,95,7.25,7.4,2,,
note,74,95,7.5,7.65,2,,
note,71,95,7.75,7.9,-2,,
note,71,95,8,8.4,-1,,
note,-1,0,8.5,8.9,-1,,
note,69,95,9,9.4,1,,
note,71,95,9.5,9.9,-1,,
note,67,95,10,10.4,-1,,
note,-1,0,10.5,10.9,-1,,
note,67,95,11,11.15,2,,
note,64,95,11.25,11.4,2,,
note,67,95,11.5,11.65,2,,
note,69,95,11.75,11.9,-2,,
note,69,95,12,12.4,-1,,
note,-1,0,12.5,12.9,-1,,
note,69,95,13,13.4,1,,
note,67,95,13.5,13.65,2,,
note,64,95,13.75,13.9,-2,,
note,62,95,14,14.4,-1,,
note,-1,0,14.5,14.9,-1,,
note,62,95,15,15.4,1,,
note,64,95,15.5,15.9,-1,,
note,67,95,16,16.4,-1,,
note,-1,0,16.5,16.9,-1,,
note,67,95,17,17.15,2,,
note,64,95,17.25,17.4,2,,
note,67,95,17.5,17.65,2,,
note,69,95,17.75,17.9,-2,,
note,69,95,18,18.4,-1,,
note,-1,0,18.5,18.9,-1,,
note,69,95,19,19.4,1,,
note,71,95,19.5,19.9,-1,,
note,74,95,20,20.4,-1,,
note,-1,0,20.5,20.9,-1,,
note,74,95,21,21.15,2,,
note,71,95,21.25,21.4,2,,
note,74,95,21.5,21.65,2,,
note,71,95,21.75,21.9,-2,,
note,71,95,22,22.4,-1,,
note,-1,0,22.5,22.9,-1,,
note,69,95,23,23.4,1,,
note,71,95,23.5,23.9,-1,,
note,67,95,24,24.4,-1,,
note,-1,0,24.5,24.9,-1,,
note,67,95,25,25.15,2,,
note,64,95,25.25,25.4,2,,
note,67,95,25.5,25.65,2,,
note,69,95,25.75,25.9,-2,,
note,69,95,26,26.4,-1,,
note,-1,0,26.5,26.9,-1,,
note,69,95,27,27.4,1,,
note,67,95,27.5,27.65,2,,
note,64,95,27.75,27.9,-2,,
note,62,95,28,28.9,0,,
note,-1,0,29,29.9,0,,
