//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,12,,,,,,
measure_time,2,,,,,,
metronome_per_measure,4,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,-1,0,0,0.9,0,,
note,60,60,1,1.4,1,,
note,62,60,1.5,1.9,-1,,
note,64,60,2,2.9,0,,
note,62,60,3,3.4,1,,
note,60,60,3.5,3.9,-1,,
note,62,60,4,4.9,0,,
note,64,60,5,5.4,1,,
note,67,60,5.5,5.9,-1,,
note,69,60,6,7.4,0,t,
note,69,60,7.5,7.9,-1,,
note,67,60,8,8.9,0,,
note,60,60,9,9.4,1,,
note,67,60,9.5,9.9,-1,,
note,69,60,10,10.9,0,,
note,67,60,11,11.4,1,,
note,64,60,11.5,11.9,-1,,
note,62,60,12,13.4,0,t,
note,60,60,13.5,13.9,-1,,
note,64,60,14,15.9,0,,t
note,-1,0,16,16.9,0,,
note,60,60,17,17.4,1,,
note,62,60,17.5,17.9,-1,,
note,64,60,18,18.9,0,,
note,62,60,19,19.4,1,,
note,60,60,19.5,19.9,-1,,
note,62,60,20,20.9,0,,
note,64,60,21,21.4,1,,
note,67,60,21.5,21.9,-1,,
note,69,60,22,23.4,0,t,
note,69,60,23.5,23.9,-1,,
note,67,60,24,24.9,0,,
note,60,60,25,25.4,1,,
note,67,60,25.5,25.9,-1,,
note,69,60,26,26.9,0,,
note,67,60,27,27.4,1,,
note,64,60,27.5,27.9,-1,,
note,62,60,28,29.4,0,t,
note,60,60,29.5,29.9,-1,,
note,60,60,30,31.9,0,,t
note,-1,0,32,32.9,0,,
note,60,60,33,33.4,1,,
note,67,60,33.5,33.9,-1,,
note,69,60,34,34.9,0,,
note,67,60,35,35.4,1,,
note,64,60,35.5,35.9,-1,,
note,62,60,36,37.4,0,t,
note,60,60,37.5,37.9,-1,,
note,60,60,38,39.9,0,,t
