//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,12,,,,,,
measure_time,1.2,,,,,,
metronome_per_measure,4,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,-1,0,0,0.54,0,,
note,60,60,0.6,0.84,1,,
note,62,60,0.9,1.14,-1,,
note,64,60,1.2,1.74,0,,
note,62,60,1.8,2.04,1,,
note,60,60,2.1,2.34,-1,,
note,62,60,2.4,2.94,0,,
note,64,60,3,3.24,1,,
note,67,60,3.3,3.54,-1,,
note,69,60,3.6,4.44,0,t,
note,69,60,4.5,4.74,-1,,
note,67,60,4.8,5.34,0,,
note,60,60,5.4,5.64,1,,
note,67,60,5.7,5.94,-1,,
note,69,60,6,6.54,0,,
note,67,60,6.6,6.84,1,,
note,64,60,6.9,7.14,-1,,
note,62,60,7.2,8.04,0,t,
note,60,60,8.1,8.34,-1,,
note,64,60,8.4,9.54,0,,t
note,-1,0,9.6,10.14,0,,
note,60,60,10.2,10.44,1,,
note,62,60,10.5,10.74,-1,,
note,64,60,10.8,11.34,0,,
note,62,60,11.4,11.64,1,,
note,60,60,11.7,11.94,-1,,
note,62,60,12,12.54,0,,
note,64,60,12.6,12.84,1,,
note,67,60,12.9,13.14,-1,,
note,69,60,13.2,14.04,0,t,
note,69,60,14.1,14.34,-1,,
note,67,60,14.4,14.94,0,,
note,60,60,15,15.24,1,,
note,67,60,15.3,15.54,-1,,
note,69,60,15.6,16.14,0,,
note,67,60,16.2,16.44,1,,
note,64,60,16.5,16.74,-1,,
note,62,60,16.8,17.64,0,t,
note,60,60,17.7,17.94,-1,,
note,60,60,18,19.14,0,,t
note,-1,0,19.2,19.74,0,,
note,60,60,19.8,20.04,1,,
note,67,60,20.1,20.34,-1,,
note,69,60,20.4,20.94,0,,
note,67,60,21,21.24,1,,
note,64,60,21.3,21.54,-1,,
note,62,60,21.6,22.44,0,t,
note,60,60,22.5,22.74,-1,,
note,60,60,22.8,23.94,0,,t
