//,Define constants,,,,,,
prelude,0,"// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ",,,,,
default_transpose,12,,,,,,
measure_time,2,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,60,95,0,0.8,0,,
note,62,95,1,1.8,0,,
note,64,95,2,2.8,0,,
note,65,95,3,3.8,0,,
note,67,95,4,4.8,0,,
note,69,95,5,5.8,0,,
note,71,95,6,7.8,0,,t
note,71,95,8,8.8,0,,
note,69,95,9,9.8,0,,
note,67,95,10,10.8,0,,
note,65,95,11,11.8,0,,
note,64,95,12,12.8,0,,
note,62,95,13,13.8,0,,
note,60,95,14,14.8,0,,
note,-1,0,15,15.8,0,,
